interest,IgName,IgLevel1,IgLevel2,x,y
6003454796071,Hurt (band),Local Business,News and entertainment,4233900,None
6003037232645,Sneakers Addict,Website,Business and industry,132050,None
6003284261276,"San Pablo, California",City,"Travel, places and events",889570,None
6003736364491,Mania,empty,Fitness and wellness,63418590,None
6016308812783,Waikato,empty,"Travel, places and events",659540,None
6002990909320,"Serasa, Brunei-Muara",Government Organization,"Travel, places and events",1649400,None
6003342278587,Risk management,Local Business,Business and industry,7400950,None
6003222211788,Conjunto Atardecer,Musician/Band,News and entertainment,50050,None
6003279458580,OfficeMax,Local Business,Business and industry,996460,None
6003326433488,Free Tibet,Local Business,Business and industry,318150,None
6003147596326,Draft horse,Athlete,Hobbies and activities,1104300,None
6003649977713,Economic development,empty,Business and industry,38086770,None
6003332345371,Jam band,Musical Genre,News and entertainment,7480170,None
6003352959037,Atlanta Hawks,Sports Team,Sports and outdoors,5094190,None
6003526109494,Cork (material),empty,Food and drink,3663180,None
6003713624753,Henrik Larsson,Public Figure,People,823090,None
6003047462756,The Phoenix (newspaper),Local Business,Business and industry,824520,None
6003534220198,Auguste Rodin,Artist,People,1392330,None
6003278947502,Street Fighter,Video Game,Technology,6503000,None
6003335038371,Moody Blues,Musician/Band,News and entertainment,450810,None
6003415999418,Little Brother (group),Local Business,News and entertainment,2543200,None
6003495321386,Oxygen (TV channel),TV Channel,News and entertainment,6803200,None
6012300409641,Teleprogreso Mi canal,TV Channel,News and entertainment,38,None
6003704030091,RER,Public & Government Service,"Travel, places and events",477210,None
6002991390459,Lurpak,Local Business,Business and industry,1592600,None
6003657337304,Tata Sky,Local Business,Business and industry,9420490,None
6003306169421,Experimental film,Local Business,News and entertainment,1755720,None
6003286242201,Kung Fu (TV series),TV Show,News and entertainment,1146410,None
6003187375734,"Malibu, California",City,"Travel, places and events",9452560,None
6004096037009,The Sword in the Stone (film),Movie,News and entertainment,202210,None
6003137723776,Marine Le Pen,Politician,People,2531230,None
6003647130620,Electric motor,empty,Hobbies and activities,47976230,None
6003373671757,Object (philosophy),empty,Hobbies and activities,49397710,None
6003001983892,Docking station,empty,Technology,4753720,None
6003460215825,Speech balloon,empty,News and entertainment,416190,None
6003605020420,Paracel Islands,Local Business,"Travel, places and events",625360,None
6003331881577,Semiconductor fabrication plant,empty,Business and industry,3516260,None
6003250735046,Ooty,City,"Travel, places and events",817780,None
6003337494443,French rock,Musical Genre,News and entertainment,48070,None
6013479424250,Jabatan Kemajuan Islam Malaysia (Jakim),Government Organization,People,429200,None
6003693350916,Professional sports,empty,Education,29721820,None
6003405504591,Martha Stewart,Author,People,5796460,None
6015755959702,Fast & Furious (2009 film),empty,News and entertainment,48633360,None
6003137297950,Laksa,Local Business,Food and drink,1873870,None
6002898942362,Jeff Hardy,Athlete,People,2574080,None
6002994625573,B.o.B Presents: The Adventures of Bobby Ray,Local Business,News and entertainment,3135460,None
6002997872644,Columba,Local Business,People,927610,None
6012603984503,miss led,Artist,People,427180,None
6003374463851,Dow Chemical Company,Gas & Chemical Service,Business and industry,287550,None
6003582480873,Tomb Raider III,Games/Toys,News and entertainment,706550,None
6002989776568,Lisa Frank,Public Figure,People,935040,None
6003106027229,Mannie Fresh,Author,People,516950,None
6003117139426,Kotex,Brand/Company Type,Business and industry,8163600,None
6003335621780,Status quo,Local Business,Business and industry,3225970,None
6003399003053,95.5 Virgin Hitz,Radio Station,News and entertainment,466830,None
6003736460153,Lions Clubs International,Local Business,Business and industry,4770430,None
6003869428960,Berg,Artist,People,1033460,None
6003345056051,Smart Communications,Local Business,Technology,8210090,None
6002937203859,Katniss Everdeen,Local Business,News and entertainment,2041790,None
6003854698052,Grandmaster (martial arts),empty,Sports and outdoors,2717120,None
6003976411296,Amr Moussa,Politician,People,618910,None
6003314123969,1961 NBA Finals,Sports Event,Sports and outdoors,1682450,None
6003066245670,Provinces of the Philippines,empty,Hobbies and activities,24962670,None
6011646542730,C-Heads Magazine,Magazine,News and entertainment,484710,None
6011233641737,Elle (India),Magazine,News and entertainment,1045920,None
6003288377711,Takchita,empty,Shopping and fashion,394350,None
6003387271641,Parador,Hotel,Lifestyle and culture,2595900,None
6003159382734,Pisa,Region,"Travel, places and events",5528390,None
6003422017889,Baju Kurung,empty,Lifestyle and culture,2621970,None
6003701955783,Hyundai Accent,Cars,Hobbies and activities,3513710,None
6003700749290,VTB United League,Local Business,Sports and outdoors,56660,None
6011910907281,Rugged Maniac 5K Obstacle Race,Sports Event,Sports and outdoors,556990,None
6003352938432,Rhône (department),Region,"Travel, places and events",747770,None
6003372409740,VnExpress,Newspaper,Business and industry,4088930,None
6003109324984,Visual kei,Local Business,News and entertainment,3945310,None
6003779182252,Leather jacket,empty,Shopping and fashion,22595980,None
6003664416916,ProFM Romania,Broadcasting & Media Production Company,News and entertainment,530980,None
6002900223962,Christian ministry,empty,Lifestyle and culture,21541490,None
6003057720444,BFM TV,TV Channel,News and entertainment,1826020,None
6003301669460,Flan,empty,Food and drink,2753060,None
6003369872735,Minnie Mouse,Fictional Character,News and entertainment,9282080,None
6003278256399,Slamball,empty,Sports and outdoors,1186690,None
6002923672321,Cheta,empty,Technology,219180,None
6003203902447,TAM Airlines,Local Business,Business and industry,560930,None
6003683126820,Madonna (Madonna album),Album,News and entertainment,5539470,None
6003180304502,Piston,empty,Hobbies and activities,6956610,None
6003071094715,Gospel music,empty,News and entertainment,118545220,
6003194106872,Chaitanya Mahaprabhu,Local Business,People,1172860,None
6003067304597,Shivraj Singh Chouhan,Politician,People,2884900,None
6003485640680,World view,empty,People,6916150,None
6003353049051,Human height,empty,People,412780,None
6003454660144,Kandi Burruss,Producer,People,3578400,None
6003419162839,Sector 3 (Bucharest),Arts & Entertainment,"Travel, places and events",1120930,None
6003024611650,Star-Lord,Local Business,News and entertainment,484050,None
6003409350077,Noah Cyrus,Musician,People,1965140,None
6003030465807,Literary realism,Local Business,Lifestyle and culture,128970,None
6003325908454,Promozione,Local Business,Sports and outdoors,1416820,None
6003154822184,Brocade,empty,Hobbies and activities,5392050,None
6003251880776,Life (NBC TV series),empty,News and entertainment,64080,None
6003485005947,Kunchacko Boban,Artist,People,1447110,None
6003443583791,Pow wow,empty,Hobbies and activities,1691180,None
6003666337238,Vehicle simulation game,empty,News and entertainment,15662120,None
6003285759497,Kiefer Sutherland,Producer,People,699810,None
6003404878564,Mehdi Bennani,Local Business,People,938410,None
6003293725330,Mortar and pestle,empty,Business and industry,3010290,None
6003470493547,Radio Disney Latin America,TV Channel,News and entertainment,1032600,None
6003523320570,Continent,empty,Business and industry,67543200,None
6003333562232,Gross national product,empty,"Travel, places and events",1032680,None
6003107865178,Enchilada,Local Business,Food and drink,2618120,None
6003487168831,Mac Mini,empty,Technology,463550,None
6003971379696,Jägermeister,Drink,Food and drink,5723720,None
6003092257616,Vermiform appendix,Local Business,Fitness and wellness,338840,None
6002971867994,Resin,empty,Hobbies and activities,18715960,None
6003395511135,Lanvin (clothing),Local Business,Shopping and fashion,1431110,None
6003092873217,Slide show,Local Business,Technology,4570700,None
6003148999152,Breeders' Cup Classic,Sport,Business and industry,643150,None
6003416192277,Ital,Local Business,Food and drink,682560,None
6003352463319,Ekurhuleni Metropolitan Municipality,Government Organization,"Travel, places and events",303960,None
6003353446930,The Bahamas,Country,"Travel, places and events",9918380,None
6003243058188,Diners,empty,Food and drink,56008627,
6003017680419,National Geographic (magazine),empty,News and entertainment,20514120,None
6003663738507,Program management,Field of Study,Education,834250,None
6004176066095,Huatulco,City,"Travel, places and events",1079810,None
6003472434487,Photographic processing,empty,Hobbies and activities,1137720,None
6006941025872,Close-Up (toothpaste),empty,Business and industry,5007510,None
6007923776168,Chris Powell (personal trainer),Author,People,833700,None
6003383134743,Cologne,empty,"Travel, places and events",23530670,None
6003087994417,The View,TV Show,News and entertainment,1450440,None
6003135810608,Instituto Politécnico Nacional,School,Education,1831590,None
6014750664639,Cream Silk Philippines,Health/Beauty,Fitness and wellness,683720,None
6003434050743,Unix,Local Business,Technology,2696800,None
6003753800091,Touch (rugby),Local Business,Sports and outdoors,1097470,None
6003000783450,Hubli,City,"Travel, places and events",635190,None
6003382212537,Penelope,Local Business,News and entertainment,1399140,None
6003495972786,Ferenc Puskás,Coach,People,497550,None
6014698348954,Narmin Assria IFBB Bikini Pro,Athlete,People,2032320,None
6003172152815,Berita Harian Online,Books & Magazines,News and entertainment,3311820,None
6004034510809,V10 engine,empty,Hobbies and activities,4372810,None
6002958180755,Legal process,empty,Business and industry,307550,None
6003306191253,Premier League,empty,Sports and outdoors,74069520,None
6003145910836,Pekalongan,City,"Travel, places and events",2693250,None
6003074035629,Cliff Lee,Athlete,People,635660,None
6002952982555,Emperor (band),Musician,News and entertainment,2428280,None
6003323110514,Italo house,Local Business,News and entertainment,289130,None
6003122176122,Prachinburi Province,County,"Travel, places and events",1393950,None
6003452442586,Altay S.K.,Local Business,Sports and outdoors,1193710,None
6003650388107,Dale Crover,empty,People,474350,None
6003587801503,Yonkoma,empty,People,566340,None
6003417027677,Mido (footballer),Public Figure,People,4324690,None
6003258950267,Ballet flat,Clothing (Brand),Shopping and fashion,2478440,None
6003706867516,I Love New York,Local Business,Hobbies and activities,1106090,None
6003133811100,Everland,Amusement & Theme Park,"Travel, places and events",2486120,None
6003350401039,Amateur wrestling,Local Business,Sports and outdoors,6799730,None
6003515158642,Pita Pit,Local Business,Food and drink,620630,None
6003114947792,Dayro Moreno,Public Figure,People,550030,None
6003188075150,Kernel (operating system),Software,Technology,4726380,None
6015859765215,Power (TV series),TV Show,News and entertainment,5565079,None
6003496988280,Deal or No Deal,Local Business,News and entertainment,1798640,None
6003246965067,Shirtdress,empty,Shopping and fashion,10186760,None
6003775314278,Farah Khan,Author,People,2537530,None
6019206538571,Rich Piana,Athlete,People,2959059,None
6003697578090,FX (TV channel),TV Network,News and entertainment,8236060,None
6003224874145,Economic sector,empty,Hobbies and activities,4318760,None
6003718451457,"Saitama, Saitama",empty,"Travel, places and events",2770400,None
6003338920957,Amitabh Bachchan,empty,People,25899950,None
6003393566381,Islamictube,Local Business,Education,789630,None
6014056899660,Fashion Designer Game,App Page,News and entertainment,323220,None
6003472488487,British cuisine,Local Business,Food and drink,1133860,None
6002949127974,Squirrel Girl,Public Figure,News and entertainment,126170,None
6003470757283,Apache Hadoop,Local Business,Technology,940590,None
6003725910091,Atacama Region,empty,"Travel, places and events",558480,None
6003316389709,Tasha Smith,Artist,People,556890,None
6003237080661,Group races,Sport,Business and industry,6721110,None
6003266101714,DePaul Blue Demons,Sports Team,Sports and outdoors,2680130,None
6002990177394,Music theory,empty,Education,3554650,None
6003587045903,Škoda Octavia,Cars,Hobbies and activities,4405670,None
6003120566534,Pete Holmes,Author,People,38790,None
6003540920094,Sam's Club México,Wholesale & Supply Store,"Travel, places and events",3862100,None
6003676425518,Champs Sports,Local Business,Shopping and fashion,2941460,None
6003271373593,Satguru,empty,People,1695130,None
6003260192157,"Ramsey, Isle of Man",City,"Travel, places and events",1690410,None
6003324977580,Delta Air Lines,empty,Business and industry,12233240,None
6003029996585,Labour law,empty,Education,12248340,None
6003316276791,Pepe Jeans,Local Business,Business and industry,4608350,None
6003605946020,Commodity market,Local Business,Business and industry,1803380,None
6002969837529,"Beverly Hills, California",empty,"Travel, places and events",11985550,None
6014218193782,Bollywood on Facebook,Community,News and entertainment,2712000,None
6003485396469,Kontinental Hockey League,Sports League,Sports and outdoors,1573930,None
6003263025993,Sixto Rodriguez,Author,People,147520,None
6003411202919,CONCACAF,Sports,Business and industry,2692270,None
6002867434022,"Viana, Spain",City,"Travel, places and events",2140170,None
6003116171268,Hydrate,empty,Business and industry,24357540,None
6003280224443,Tara Reid,Artist,People,1030600,None
6003177444961,Updo,Local Business,Fitness and wellness,1557350,None
6003196412298,Condor Trilogy,Local Business,News and entertainment,707280,None
6003446037280,Operations management,empty,Education,1121460,None
6003291526651,Muğla Province,empty,"Travel, places and events",1283610,None
6003191950698,Metal Gear,Local Business,News and entertainment,1489960,None
6002934553259,Nakodar,City,"Travel, places and events",1028220,None
6003247753275,Bird migration,Animal,Hobbies and activities,9576020,None
6002913486321,Jack Skellington,empty,News and entertainment,2369580,None
6003721694544,Husayn ibn Ali,Public Figure,People,6744540,None
6003254445288,Irish language,Local Business,Lifestyle and culture,3442520,None
6003268305536,Angela Lansbury,Producer,People,409290,None
6003372552995,Cuautitlán,Region,"Travel, places and events",782720,None
6003088879592,Loredana Groza,Artist,People,1616280,None
6003429865069,Mr. Price,Local Business,Business and industry,965960,None
6003198311767,Regensburg,City,"Travel, places and events",842380,None
6003300604538,Pistoia,Public & Government Service,"Travel, places and events",496090,None
6003478358965,Oceana (non-profit group),empty,Business and industry,1474430,None
6005999958725,Salman bin Abdulaziz Al Saud,Politician,People,5121010,None
6002989788594,Resident Evil 4,Video Game,News and entertainment,2708200,None
6003227526499,Brembo,Local Business,Business and industry,4560390,None
6003515079042,Cafe Rio,empty,Food and drink,629510,None
6003157508484,International Brazilian Jiu-Jitsu Federation,Local Business,Sports and outdoors,3347430,None
6003423543991,Anheuser-Busch InBev,Local Business,Food and drink,969560,None
6002958269050,MAXXI,Art Gallery,Lifestyle and culture,915580,None
6003287379497,Fogo de Chão,empty,Business and industry,1180830,None
6003019866729,Black Beauty,Local Business,News and entertainment,941510,None
6003500185825,Evidence (law),Local Business,"Travel, places and events",917510,None
6012636533154,Industry 4.0,Local Business,News and entertainment,1147360,None
6003157423884,Bridgewater Hall,Performance & Event Venue,Lifestyle and culture,36550,None
6003346684781,Blinkers (horse tack),Outdoor & Sporting Goods Company,Sports and outdoors,2622190,None
6003666925518,Tring,City,"Travel, places and events",667940,None
6003153751626,Fuji (apple),Japanese Restaurant,Food and drink,646630,None
6003283082327,Supercalifragilisticexpialidocious,Local Business,News and entertainment,117490,None
6003291835138,People's Representative Council,Local Business,Business and industry,587330,None
6003349565157,Plastic Ono Band,Local Business,News and entertainment,358540,None
6003088058782,Lee Evans (comedian),Athlete,People,397830,None
6003704189118,Melissa McBride,Film Director,People,308520,None
6003460200825,Buddharupa,empty,Lifestyle and culture,989570,None
6003184604152,National Treasure (film),empty,News and entertainment,198810,None
6003290429725,"Junction City, Kansas",City,"Travel, places and events",2760630,None
6003259504157,BET Gospel,empty,News and entertainment,312430,None
6003779200452,Flat panel display,empty,Technology,3704660,None
6015512951452,Wella Professionals,Hair Salon,Fitness and wellness,3664360,None
6003238737861,The Footy Show (rugby league),TV Show,News and entertainment,597100,None
6003138135990,Detroit Lions,Sports Team,Sports and outdoors,6538820,None
6003353060557,Foo Fighters (album),Local Business,News and entertainment,4211960,None
6003161393778,Atal Bihari Vajpayee,Political Ideology,People,2333240,None
6003286992497,Dan Povenmire,Author,People,702090,None
6004081738348,Tactical pants,empty,Shopping and fashion,1399970,None
6003243439213,Mydin,Local Business,Business and industry,2150620,None
6003061534881,Kia Motors Philippines,Motor Vehicle Company,Hobbies and activities,841290,None
6003318720018,Star Wars: The Old Republic,Video Game,News and entertainment,999630,None
6003342475987,Josh Groban,Artist,People,660890,None
6003605983220,Elena Gheorghe,Artist,People,1391150,None
6003332623632,Tébessa,City,"Travel, places and events",1132710,None
6003020182419,Lat Phrao District,Government Organization,Lifestyle and culture,7692780,None
6003049434356,Quang Vinh,Local Business,People,492420,None
